"Index","en-US","cs-CZ","da-DK","de-DE","en-GB","es-ES","es-MX","et-EE","fi-FI","fr-CA","fr-FR","hr-HR","hu-HU","it-IT","lt-LT","lv-LV","nb-NO","nl-NL","pl-PL","pt-BR","pt-PT","ro-RO","sk-SK","sl-SI","sr-Latn-RS","sv-SE","tr-TR"
"10014","Current Metadata Cached","Metadata v mezipaměti (aktuálně)","","Aktuelle Metadaten im Cache","Current Metadata Cached","","","Current Metadata Cached","","Métadonnées actuellement en cache","Métadonnées actuellement en cache","Current Metadata Cached","Jelenleg a gyorsítótárban levő metaadatok","Metadati correnti nella cache","Current Metadata Cached","Current Metadata Cached","","Huidige metagegevens in cachegeheugen","Bieżąca liczba bloków metadanych w pamięci podręcznej","Metadados Atuais em Cache","Metadados Atuais em Cache","Current Metadata Cached","Current Metadata Cached","Current Metadata Cached","Current Metadata Cached","Aktuella metadata i cache","Önbelleğe Alınan Geçerli Meta Veri Miktarı"
"10016","Total Metadata Cached","Metadata v mezipaměti (celkem)","","Gesamte Metadaten im Cache","Total Metadata Cached","","","Total Metadata Cached","","Total des métadonnées en cache","Total des métadonnées en cache","Total Metadata Cached","Gyorsítótárba helyezett metaadatok összesen","Totale metadati nella cache","Total Metadata Cached","Total Metadata Cached","","Totale hoeveelheid metagegevens in cachegeheugen","Całkowita liczba bloków metadanych w pamięci podręcznej","Total de Metadados em Cache","Total de Metadados em Cache","Total Metadata Cached","Total Metadata Cached","Total Metadata Cached","Total Metadata Cached","Totalt antal metadata i cache","Önbelleğe Alınan Toplam Meta Veri Miktarı"
"10018","Metadata Cache Hits","Přístupy do mezipaměti metadat","","Metadatencache-Treffer","Metadata Cache Hits","","","Metadata Cache Hits","","Correspondances dans le cache des métadonnées","Correspondances dans le cache des métadonnées","Metadata Cache Hits","Találatok száma a metaadat-gyorsítótárban","Riscontri metadati nella cache","Metadata Cache Hits","Metadata Cache Hits","","In cachegeheugen aanwezige metagegevens","Trafienia w pamięci podręcznej metadanych","Acertos do Cache de Metadados","Pedidos com Êxito na Cache de Metadados","Metadata Cache Hits","Metadata Cache Hits","Metadata Cache Hits","Metadata Cache Hits","Träffar i metadata-cache","Meta Veri İsabetli Önbellek Okuma Sayısı"
"1002","Max Paged Memory","Max. stránkované paměti","Maksimum hukommelse, der kan udveksles","Maximaler Auslagerungsspeicher","Max Paged Memory","Máximo de memoria paginada","Máximo de memoria paginada","Max Paged Memory","Sivutettua muistia enintään","Mémoire paginée max","Mémoire paginée max","Max Paged Memory","Lapozható memória maximális mérete (bájt)","Dim. massima memoria paginata","Max Paged Memory","Max Paged Memory","Maksimalt vekslebart minne","Maximaal wisselbaar geheugen","Największa pamięć stronicowana","Máximo de memória paginável","Memória paginada máxima","Max Paged Memory","Max Paged Memory","Max Paged Memory","Max Paged Memory","Maximalt växlingsbart minne","En Çok Diske Alınabilen Bellek"
"10020","Metadata Cache Misses","Neúspěšné přístupy do mezipaměti metadat","","Metadatencache-Fehler","Metadata Cache Misses","","","Metadata Cache Misses","","Échecs dans le cache des métadonnées","Échecs dans le cache des métadonnées","Metadata Cache Misses","Tévesztések száma a metaadat-gyorsítótárban","Mancati riscontri metadati nella cache","Metadata Cache Misses","Metadata Cache Misses","","Niet in cachegeheugen aanwezige meta-gegevens","Chybienia w pamięci podręcznej metadanych","Erros de Cache de Metadados","Pedidos sem Êxito na Cache de Metadados","Metadata Cache Misses","Metadata Cache Misses","Metadata Cache Misses","Metadata Cache Misses","Misslyckade träffar i metadata-cache","Meta Veri İsabetsiz Önbellek Okuma Sayısı"
"10022","Metadata Cache Flushes","Vyprázdnění mezipaměti metadat","","Metadatencache-Leerungen","Metadata Cache Flushes","","","Metadata Cache Flushes","","Vidages du cache des métadonnées","Vidages du cache des métadonnées","Metadata Cache Flushes","Metaadat-gyorsítótár kiürítéseinek száma","Cancellazioni dei metadati dalla cache","Metadata Cache Flushes","Metadata Cache Flushes","","Uit cachegeheugen verwijderde metagegevens","Opróżnienia pamięci podręcznej metadanych","Liberações de Cache de Metadados","Esvaziamentos da Cache de Metadados","Metadata Cache Flushes","Metadata Cache Flushes","Metadata Cache Flushes","Metadata Cache Flushes","Rensningar av metadata-cache","Meta Veri Önbellek Temizleme Sayısı"
"10024","Total Flushed Metadata","Vyprázdněná metadata (celkem)","","Entfernte Metadaten insgesamt","Total Flushed Metadata","","","Total Flushed Metadata","","Total des métadonnées vidées","Total des métadonnées vidées","Total Flushed Metadata","Kiürített metaadatok összesen","Totale metadati cancellati","Total Flushed Metadata","Total Flushed Metadata","","Totale hoeveelheid verwijderde metagegevens","Całkowita liczba opróżnionych bloków metadanych","Total de Metadados Liberados","Total de Metadados Descarregados","Total Flushed Metadata","Total Flushed Metadata","Total Flushed Metadata","Total Flushed Metadata","Totalt antal rensade metadata","Toplam Temizlenen Meta Veri Miktarı"
"10026","Output Cache Current Items","Aktuální položky výstupní paměti","","Aktuelle Objekte im Ausgabecache","Output Cache Current Items","","","Output Cache Current Items","","Éléments actuels du cache de sortie","Éléments actuels du cache de sortie","Output Cache Current Items","Kimeneti gyorsítótár elemeinek jelenlegi száma","Elementi correnti cache di output","Output Cache Current Items","Output Cache Current Items","","Huidige items in uitvoercache","Bieżąca liczba elementów w wyjściowej pamięci podręcznej","Itens Atuais do Cache de Saída","Itens Atuais da Cache de Saída","Output Cache Current Items","Output Cache Current Items","Output Cache Current Items","Output Cache Current Items","Aktuella objekt för utdatacache","Çıktı Önbelleği Geçerli Öğe Sayısı"
"10028","Output Cache Total Hits","Celkový počet přístupů do výstupní paměti","","Ausgabecachetreffer insgesamt","Output Cache Total Hits","","","Output Cache Total Hits","","Total d'accès au cache de sortie","Total d'accès au cache de sortie","Output Cache Total Hits","Kimeneti gyorsítótárbeli találatok összesen","Totale riscontri nella cache di output","Output Cache Total Hits","Output Cache Total Hits","","Totaal aantal treffers in uitvoercache","Całkowita liczba trafień w wyjściowej pamięci podręcznej","Total de Acertos do Cache de Saída","Total de Pedidos com Êxito na Cache de Saída","Output Cache Total Hits","Output Cache Total Hits","Output Cache Total Hits","Output Cache Total Hits","Totalt antal träffar i utdatacache","Çıktı İsabetli Önbellek Okuma Sayısı"
"10030","Output Cache Total Misses","Celkový počet neúspěšných přístupů do výstupní paměti","","Ausgabecachefehler insgesamt","Output Cache Total Misses","","","Output Cache Total Misses","","Total d'accès au cache de sortie sans résultat","Total d'accès au cache de sortie sans résultat","Output Cache Total Misses","Tévesztések összesített száma a kimeneti gyorsítótárban","Totale mancati riscontri nella cache di output","Output Cache Total Misses","Output Cache Total Misses","","Totaal aantal missers in uitvoercache","Całkowita liczba chybień w wyjściowej pamięci podręcznej","Total de Erros do Cache de Saída","Total de Pedidos sem Êxito na Cache de Saída","Output Cache Total Misses","Output Cache Total Misses","Output Cache Total Misses","Output Cache Total Misses","Totalt antal utdatacachemissar","Çıktı İsabetsiz Önbellek Okuma Sayısı"
"10032","Output Cache Total Flushes","Celkový počet vyprázdnění výstupní paměti","","Ausgabecacheleerungen insgesamt","Output Cache Total Flushes","","","Output Cache Total Flushes","","Total de vidages du cache de sortie","Total de vidages du cache de sortie","Output Cache Total Flushes","Kimeneti gyorsítótár kiürítéseinek száma összesen","Totale cancellazioni nella cache di output","Output Cache Total Flushes","Output Cache Total Flushes","","Totaal aantal leegmaakacties in uitvoercache","Całkowita liczba opróżnień wyjściowej pamięci podręcznej","Total de Liberações de Cache de Saída","Total de Esvaziamentos da Cache de Saída","Output Cache Total Flushes","Output Cache Total Flushes","Output Cache Total Flushes","Output Cache Total Flushes","Totalt antal tömningar av utdatacache","Çıktı Önbelleği Atılma Sayısı"
"10034","Output Cache Current Flushed Items","Počet právě vyprázdněných položek ve výstupní paměti","","Aktuell aus dem Ausgabecache entfernte Objekte","Output Cache Current Flushed Items","","","Output Cache Current Flushed Items","","Éléments actuels vidés dans le cache de sortie","Éléments actuels vidés dans le cache de sortie","Output Cache Current Flushed Items","Kimeneti gyorsítótárból kiürített elemek jelenlegi száma","Elementi correnti cancellati nella cache di output","Output Cache Current Flushed Items","Output Cache Current Flushed Items","","Huidig aantal verwijderde items uit uitvoercache","Bieżąca liczba elementów opróżnionych z wyjściowej pamięci podręcznej","Itens Liberados Atuais do Cache de Saída","Itens Atuais Descarregados na Cache de Saída","Output Cache Current Flushed Items","Output Cache Current Flushed Items","Output Cache Current Flushed Items","Output Cache Current Flushed Items","Aktuella objekt som tömts ur utdatacache","Çıktı Önbelleği Geçerli Atılmış Öğe Sayısı"
"10036","Output Cache Total Flushed Items","Celkový počet vyprázdněných položek ve výstupní mezipaměti","","Aus dem Ausgabecache entfernte Objekte insgesamt","Output Cache Total Flushed Items","","","Output Cache Total Flushed Items","","Nombre total d'éléments vidés du cache de sortie","Nombre total d'éléments vidés du cache de sortie","Output Cache Total Flushed Items","Kimeneti gyorsítótárból kiürített elemek összesen","Totale elementi cancellati dalla cache di output","Output Cache Total Flushed Items","Output Cache Total Flushed Items","","Totaal aantal verwijderde items uit uitvoercache","Całkowita liczba elementów opróżnionych z wyjściowej pamięci podręcznej","Total de Itens Liberados do Cache de Saída","Total de Itens Descarregados da Cache de Saída","Output Cache Total Flushed Items","Output Cache Total Flushed Items","Output Cache Total Flushed Items","Output Cache Total Flushed Items","Totalt antal objekt som tömts ur utdatacache","Çıktı Önbelleği Toplam Atılmış Öğe Sayısı"
"10038","File Cache Hits / sec","Počet přístupů do souborové mezipaměti/s","","Dateicachetreffer/s","File Cache Hits / sec","","","File Cache Hits / sec","","Accès cache de fichiers/s","Accès cache de fichiers/s","File Cache Hits / sec","Fájlgyorsítótárbeli találatok gyakorisága (találat/s)","Riscontri nella cache/sec","File Cache Hits / sec","File Cache Hits / sec","","Treffers/sec. bestandscache","Trafienia w pamięci podręcznej plików/s","Acertos de Cache de Arquivo / seg","Pedidos com Êxito na Cache de Ficheiros / seg","File Cache Hits / sec","File Cache Hits / sec","File Cache Hits / sec","File Cache Hits / sec","Filcacheträffar/s","Dosya İsabetli Önbellek Okuma Sayısı / san"
"1004","Current Paged Memory","Aktuální stránkovaná paměť","Aktuel hukommelse, der kan udveksles","Aktueller Auslagerungsspeicher","Current Paged Memory","Memoria paginada actual","Memoria paginada actual","Current Paged Memory","Tämänhetkinen sivutettu muisti","Mémoire paginée actuelle","Mémoire paginée actuelle","Current Paged Memory","Jelenleg használt lapozható memória mérete (bájt)","Memoria paginata corrente","Current Paged Memory","Current Paged Memory","Gjeldende vekslebart minne","Huidig wisselbaar geheugen","Bieżąca pamięć stronicowana","Memória paginável atual","Memória paginada atual","Current Paged Memory","Current Paged Memory","Current Paged Memory","Current Paged Memory","Aktuellt växlingsbart minne","Geçerli Diske Alınabilen Bellek"
"10040","Metadata Cache Hits / sec","Počet přístupů do mezipaměti metadat/s","","Metadatencache-Treffer/s","Metadata Cache Hits / sec","","","Metadata Cache Hits / sec","","Correspondances dans le cache des métadonnées/s","Correspondances dans le cache des métadonnées/s","Metadata Cache Hits / sec","Metaadat-gyorsítótárbeli találatok gyakorisága (találat/s)","Riscontri metadati nella cache/sec","Metadata Cache Hits / sec","Metadata Cache Hits / sec","","Treffers/sec. metagegevenscache","Trafienia w pamięci podręcznej metadanych/s","Acertos de Cache de Metadados / seg","Pedidos com Êxito na Cache de Metadados / seg","Metadata Cache Hits / sec","Metadata Cache Hits / sec","Metadata Cache Hits / sec","Metadata Cache Hits / sec","Metadatacacheträffar/s","Meta Veri İsabetli Önbellek Okuma Sayısı / san"
"10042","Output Cache Hits / sec","Počet přístupů do výstupní mezipaměti/s","","Ausgabecachetreffer/s","Output Cache Hits / sec","","","Output Cache Hits / sec","","Accès au cache de sortie/s","Accès au cache de sortie/s","Output Cache Hits / sec","Kimeneti gyorsítótárbeli találatok gyakorisága (találat/s)","Riscontri nella cache di output/sec","Output Cache Hits / sec","Output Cache Hits / sec","","Treffers/sec. uitvoercache","Trafienia w wyjściowej pamięci podręcznej/s","Acertos do Cache de Saída / seg","Pedidos com Êxito na Cache de Saída / seg","Output Cache Hits / sec","Output Cache Hits / sec","Output Cache Hits / sec","Output Cache Hits / sec","Utdatacacheträffar/s","Çıktı Önbelleği İsabetli Okuma Sayısı / san"
"10044","Uri Cache Hits / sec","Počet přístupů do mezipaměti identifikátorů URI/s","","URI-Cachetreffer/s","Uri Cache Hits / sec","","","Uri Cache Hits / sec","","Correspondances dans le cache URI/s","Correspondances dans le cache URI/s","Uri Cache Hits / sec","URI-gyorsítótárbeli találatok gyakorisága (találat/s)","Riscontri URI nella cache/sec","Uri Cache Hits / sec","Uri Cache Hits / sec","","Treffers/sec. URI-cache","Trafienia w pamięci podręcznej URI/s","Acertos do Cache de Uri / seg","Pedidos com Êxito na Cache de URI / seg","Uri Cache Hits / sec","Uri Cache Hits / sec","Uri Cache Hits / sec","Uri Cache Hits / sec","URI-cacheträffar/s","Uri İsabetli Önbellek Okuma Sayısı / san"
"10046","File Cache Misses / sec","Počet neúspěšných přístupů do souborové mezipaměti/s","","Dateicachefehler/s","File Cache Misses / sec","","","File Cache Misses / sec","","Échecs dans le cache de fichiers/s","Échecs dans le cache de fichiers/s","File Cache Misses / sec","Fájlgyorsítótárbeli tévesztések gyakorisága (tévesztés/s)","Mancati riscontri nella cache/sec","File Cache Misses / sec","File Cache Misses / sec","","Missers/sec. bestandscache","Chybienia w pamięci podręcznej plików/s","Erros do Cache de Arquivo / seg","Pedidos sem Êxito na Cache de Ficheiros / seg","File Cache Misses / sec","File Cache Misses / sec","File Cache Misses / sec","File Cache Misses / sec","Filcachemissar/s","Dosya İsabetsiz Önbellek Okuma Sayısı / san"
"10048","Metadata Cache Misses / sec","Počet neúspěšných přístupů do mezipaměti metadat/s","","Metadatencache-Fehler/s","Metadata Cache Misses / sec","","","Metadata Cache Misses / sec","","Échecs dans le cache des métadonnées/s","Échecs dans le cache des métadonnées/s","Metadata Cache Misses / sec","Metaadat-gyorsítótárbeli tévesztések gyakorisága (tévesztés/s)","Mancati riscontri metadati nella cache/sec","Metadata Cache Misses / sec","Metadata Cache Misses / sec","","Missers/sec. metagegevenscache","Chybienia w pamięci podręcznej metadanych/s","Erros do Cache de Metadados / seg","Pedidos sem Êxito na Cache de Metadados / seg","Metadata Cache Misses / sec","Metadata Cache Misses / sec","Metadata Cache Misses / sec","Metadata Cache Misses / sec","Metadatacachemissar/s","Meta Veri İsabetsiz Önbellek Okuma Sayısı / san"
"10050","Output Cache Misses / sec","Počet neúspěšných přístupů do výstupní mezipaměti/s","","Ausgabecachefehler/s","Output Cache Misses / sec","","","Output Cache Misses / sec","","Accès au cache de sortie sans résultat/s","Accès au cache de sortie sans résultat/s","Output Cache Misses / sec","Kimeneti gyorsítótárbeli tévesztések gyakorisága (tévesztés/s)","Mancati riscontri nella cache di output/sec","Output Cache Misses / sec","Output Cache Misses / sec","","Missers/sec. uitvoercache","Chybienia w wyjściowej pamięci podręcznej/s","Erros do Cache de Saída / seg","Pedidos sem Êxito na Cache de Saída / seg","Output Cache Misses / sec","Output Cache Misses / sec","Output Cache Misses / sec","Output Cache Misses / sec","Utdatacachemissar/s","Çıktı Önbelleği İsabetsiz Okuma Sayısı / san"
"10052","Uri Cache Misses / sec","Počet neúspěšných přístupů do mezipaměti identifikátorů URI/s","","URI-Cachefehler/s","Uri Cache Misses / sec","","","Uri Cache Misses / sec","","Échecs dans le cache URI/s","Échecs dans le cache URI/s","Uri Cache Misses / sec","URI-gyorsítótárbeli tévesztések gyakorisága (tévesztés/s)","Mancati riscontri URI nella cache/sec","Uri Cache Misses / sec","Uri Cache Misses / sec","","Missers/sec. URI-cache","Chybienia w pamięci podręcznej URI/s","Erros de Cache de Uri / seg","Pedidos sem Êxito na Cache de URI / seg","Uri Cache Misses / sec","Uri Cache Misses / sec","Uri Cache Misses / sec","Uri Cache Misses / sec","URI-cachemissar/s","URI İsabetsiz Önbellek Okuma Sayısı / san"
"10054","% 401 HTTP Response Sent","% odeslané odpovědi HTTP 401","","Gesendete HTTP-Antwort 401: % ","% 401 HTTP Response Sent","","","% 401 HTTP Response Sent","","% de réponses HTTP 401 envoyées","% de réponses HTTP 401 envoyées","% 401 HTTP Response Sent","Küldött 401-es HTTP-válaszok aránya (% )","% risposta HTTP 401 inviata","% 401 HTTP Response Sent","% 401 HTTP Response Sent","","% 401 HTTP-antwoord verzonden","% wysłanych odpowiedzi HTTP 401","% de Respostas HTTP 401 Enviadas","% Respostas HTTP 401 Enviada","% 401 HTTP Response Sent","% 401 HTTP Response Sent","% 401 HTTP Response Sent","% 401 HTTP Response Sent","% skickade 401 HTTP-svar","% Gönderilen 401 HTTP Yanıtı"
"10056","% 403 HTTP Response Sent","% odeslané odpovědi HTTP 403","","Gesendete HTTP-Antwort 403: % ","% 403 HTTP Response Sent","","","% 403 HTTP Response Sent","","% de réponses HTTP 403 envoyées","% de réponses HTTP 403 envoyées","% 403 HTTP Response Sent","Küldött 403-as HTTP-válaszok aránya (% )","% risposta HTTP 403 inviata","% 403 HTTP Response Sent","% 403 HTTP Response Sent","","% 403 HTTP-antwoord verzonden","% wysłanych odpowiedzi HTTP 403","% de Respostas HTTP 403 Enviadas","% Respostas HTTP 403 Enviada","% 403 HTTP Response Sent","% 403 HTTP Response Sent","% 403 HTTP Response Sent","% 403 HTTP Response Sent","% skickade 403 HTTP-svar","% Gönderilen 403 HTTP Yanıtı"
"10058","% 404 HTTP Response Sent","% odeslané odpovědi HTTP 404","","Gesendete HTTP-Antwort 404: % ","% 404 HTTP Response Sent","","","% 404 HTTP Response Sent","","% de réponses HTTP 404 envoyées","% de réponses HTTP 404 envoyées","% 404 HTTP Response Sent","Küldött 404-es HTTP-válaszok aránya (% )","% risposta HTTP 404 inviata","% 404 HTTP Response Sent","% 404 HTTP Response Sent","","% 404 HTTP-antwoord verzonden","% wysłanych odpowiedzi HTTP 404","% de Respostas HTTP 404 Enviadas","% Respostas HTTP 404 Enviada","% 404 HTTP Response Sent","% 404 HTTP Response Sent","% 404 HTTP Response Sent","% 404 HTTP Response Sent","% skickade 404 HTTP-svar","% Gönderilen 404 HTTP Yanıtı"
"1006","Max NonPaged Memory","Max. nestránkované paměti","Maksimum hukommelse, der ikke kan udveksles","Maximaler Nicht-Auslagerungsspeicher","Max NonPaged Memory","Máximo de memoria no paginada","Máximo de memoria no paginada","Max NonPaged Memory","Sivuttamatonta muistia enintään","Mémoire non paginée max","Mémoire non paginée max","Max NonPaged Memory","Nem lapozható memória maximális mérete (bájt)","Dim. massima memoria non paginata","Max NonPaged Memory","Max NonPaged Memory","Maksimalt ikke-vekslebart minne","Maximaal niet-wisselbaar geheugen","Największa pamięć niestronicowana","Máximo de memória não-paginável","Memória não paginada máxima","Max NonPaged Memory","Max NonPaged Memory","Max NonPaged Memory","Max NonPaged Memory","Maximalt icke-växlingsbart minne","En Çok Diske Alınamayan Bellek"
"10060","% 500 HTTP Response Sent","% odeslané odpovědi HTTP 500","","Gesendete HTTP-Antwort 500: % ","% 500 HTTP Response Sent","","","% 500 HTTP Response Sent","","% de réponses HTTP 500 envoyées","% de réponses HTTP 500 envoyées","% 500 HTTP Response Sent","Küldött 500-as HTTP-válaszok aránya (% )","% risposta HTTP 500 inviata","% 500 HTTP Response Sent","% 500 HTTP Response Sent","","% 500 HTTP-antwoord verzonden","% wysłanych odpowiedzi HTTP 500","% de Respostas HTTP 500 Enviadas","% Respostas HTTP 500 Enviada","% 500 HTTP Response Sent","% 500 HTTP Response Sent","% 500 HTTP Response Sent","% 500 HTTP Response Sent","% skickade 500 HTTP-svar","% Gönderilen 500 HTTP Yanıtı"
"10064","WebSocket Active Requests","Počet aktivních požadavků protokolu WebSocket","","Aktive WebSocket-Anforderungen","WebSocket Active Requests","","","WebSocket Active Requests","","Demandes actives WebSocket","Demandes actives WebSocket","WebSocket Active Requests","Aktív WebSocket-kérelmek","Richieste WebSocket attive","WebSocket Active Requests","WebSocket Active Requests","","Actieve WebSocket-aanvragen","Aktywne żądania protokołu WebSocket","Solicitações Ativas WebSocket","Pedidos de WebSocket Ativos","WebSocket Active Requests","WebSocket Active Requests","WebSocket Active Requests","WebSocket Active Requests","Aktiva WebSocket-begäranden","Etkin WebSocket İstekleri"
"10066","WebSocket Connection Attempts / Sec","Počet pokusů o připojení protokolu WebSocket za sekundu","","WebSocket-Verbindungsversuche/s","WebSocket Connection Attempts / Sec","","","WebSocket Connection Attempts / Sec","","Tentatives de connexion WebSocket par seconde","Tentatives de connexion WebSocket par seconde","WebSocket Connection Attempts / Sec","WebSocket-kapcsolódási kísérletek gyakorisága (kísérlet/s)","Tentativi di connessione WebSocket/sec","WebSocket Connection Attempts / Sec","WebSocket Connection Attempts / Sec","","WebSocket-verbindingspogingen / sec.","Próby połączenia z użyciem protokołu WebSocket/s","Tentativas de Conexão WebSocket/s","Tentativas de Ligação WebSocket /Seg","WebSocket Connection Attempts / Sec","WebSocket Connection Attempts / Sec","WebSocket Connection Attempts / Sec","WebSocket Connection Attempts / Sec","WebSocket-anslutningsförsök/s","WebSocket Bağlantı Denemesi / Sn"
